matched_name,species,X,Tips,Order,Familly,Genus,Mass,Longevity_Species,SexMatF_Species
Carpodacus roseus,Carpodacus roseus,,Carpodacus_roseus,Passeriformes,,Carpodacus,28.6,NA,NA
Carpodacus sibiricus,Uragus sibiricus,,Uragus_sibiricus,Passeriformes,,Uragus,17.45,NA,NA
Casuarius bennetti,Casuarius bennetti,,Casuarius_bennetti_AY016011,Casuariiformes,,Casuarius,35000,26,NA
Casuarius casuarius,Casuarius casuarius,,Casuarius_casuarius_NC002778,Casuariiformes,,Casuarius,44000,30,NA
Catharacta skua,Catharacta skua,,Catharacta_skua,Charadriiformes,,Catharacta,1340,34.5,2190
Cathartes aura,Cathartes aura,,Cathartes_aura_NC007628,Charadriiformes,,Cathartes,2006,20.8,4015
Cecropis daurica,Cecropis daurica,,Cecropis_daurica_NC_024107,Passeriformes,,Cecropis,22.2,9,NA
Chalcophaps indica,Chalcophaps indica,,Chalcophaps_indica_HM746789,Columbiformes,,Chalcophaps,136,NA,NA
Chionis minor,Chionis minor,,Chionis_minor,Charadriiformes,,Chionis,588,NA,NA
Chloris sinica,Carduelis sinica,,Carduelis_sinica_NC015196,Passeriformes,,Carduelis,19,NA,NA
Chlorodrepanis flava,Hemignathus flavus,,Hemignathus_flavus,Passeriformes,,Hemignathus,12.65,NA,NA
Chlorophanes spiza,Chlorophanes spiza,,Chlorophanes_spiza,Passeriformes,,Chlorophanes,19,NA,NA
Chroicocephalus ridibundus,Chroicocephalus ridibundus,,Chroicocephalus_ridibundus_KM577662,Charadriiformes,,Chroicocephalus,284,32.9,730
Chrysolophus amherstiae,Chrysolophus amherstiae,,Chrysolophus_amherstiae_NC014576,Galliformes,,Chrysolophus,738.25,19.6,NA
Chrysolophus pictus,Chrysolophus pictus,,NA,NA,NA,NA,NA,NA,NA
Chrysomus icterocephalus,Chrysomus icterocephalus,,Chrysomus_icterocephalus_NC018799,Galliformes,,Chrysomus,31,NA,NA
Chrysomus ruficapillus,Chrysomus ruficapillus,,Chrysomus_ruficapillus_NC018796,Galliformes,,Chrysomus,36.75,NA,NA
Ciconia boyciana,Ciconia boyciana,,Ciconia_boyciana_NC002196,Ciconiiformes,,Ciconia,4850.5,48.1,NA
Ciconia ciconia,Ciconia ciconia,,Ciconia_ciconia_NC002197,Ciconiiformes,,Ciconia,3448,39,1460
Cnemotriccus fuscatus,Cnemotriccus fuscatus,,NA,NA,NA,NA,NA,NA,NA
Coccothraustes coccothraustes,Coccothraustes coccothraustes,,Coccothraustes_coccothraustes,Passeriformes,,Coccothraustes,56.65,12.6,365
Coccothraustes vespertinus,Coccothraustes vespertinus,,Coccothraustes_vespertinus,Passeriformes,,Coccothraustes,59.55,17,NA
Colinus virginianus,Colinus virginianus,,Colinus_virginianus_NC024620,Galliformes,,Colinus,178,6.4,365
Columba janthina,Columba janthina,,Columba_janthina_KM926619,Columbiformes,,Columba,397,NA,NA
Columba livia,Columba livia,,Columba_livia_NC013978,Columbiformes,,Columba,354.5,35,140
Corvus brachyrhynchos,Corvus brachyrhynchos,,Corvus_brachyrhynchos_NC026461,Passeriformes,,Corvus,506,20,730
Corvus frugilegus,Corvus frugilegus,,Corvus_frugilegus_NC002069,Passeriformes,,Corvus,453.5,22.9,730
Corvus hawaiiensis,Corvus hawaiiensis,,Corvus_hawaiiensis_NC_026783,Passeriformes,,Corvus,520,25,730
Corvus macrorhynchos,Corvus macrorhynchos,,Corvus_macrorhynchos_KR057957,Passeriformes,,Corvus,482.25,NA,NA
Corvus nasicus,Corvus cornix,,Corvus_cornix_NC_024698,Passeriformes,,Corvus,570,19.2,1095
Corvus splendens,Corvus splendens,,Corvus_splendens_KJ766304,Passeriformes,,Corvus,293.5,NA,NA
Coturnix chinensis,Coturnix chinensis,,Coturnix_chinensis_NC004575,Galliformes,,Coturnix,41.75,5,NA
Coturnix japonica,Coturnix japonica,,Coturnix_japonica_NC003408,Galliformes,,Coturnix,94.8,6,63
Crax daubentoni,Crax daubentoni,,Crax_daubentoni_NC024617,Galliformes,,Crax,2506.5,NA,NA
Crax rubra,Crax rubra,,Crax_rubra_NC024618,Galliformes,,Crax,4133,24,NA
Crithagra albogularis,Serinus albogularis,,Serinus_albogularis,Passeriformes,,Serinus,27.1,NA,365
Crithagra dorsostriata,Serinus dorsostriatus,,Serinus_dorsostriatus_KM078798,Passeriformes,,Serinus,14.5,NA,365
Crossoptilon auritum,Crossoptilon auritum,,Crossopptilon_auritum_NC015897,Galliformes,,Crossoptilon,1785,NA,NA
Crossoptilon crossoptilon,Crossoptilon crossoptilon,,Crossoptilon_crossoptilon_NC016679,Galliformes,,Crossoptilon,2137.5,NA,NA
Crossoptilon harmani,Crossoptilon harmani,,Crossoptilon_harmani_NC026547,Galliformes,,Crossoptilon,NA,NA,NA
Crossoptilon mantchuricum,Crossoptilon mantchuricum,,Crossoptilon_mantchuricum_NC026548,Galliformes,,Crossoptilon,1900,NA,NA
Crotophaga ani,Crotophaga ani,,Crotophaga_ani_HM746794,Cuculiformes,,Crotophaga,97.4,NA,NA
Crypturellus tataupa,Crypturellus tataupa,,NA,NA,NA,NA,NA,NA,NA
Curaeus curaeus,Curaeus curaeus,,Curaeus_curaeus_NC018808,Passeriformes,Icteridae,Curaeus,83.7,NA,NA
Cyanopica cyanus,Cyanopica cyanus,,Cyanopica_cyanus_NC015824,Passeriformes,,Cyanopica,96,NA,NA
Cygnus atratus,Cygnus atratus,,Cygnus_atratus_NC012843,Anseriformes,,Cygnus,5650,NA,821
Cygnus olor,Cygnus olor,,Cygnus_olor_mitochondrion_NC027096,Anseriformes,,Cygnus,10735,70,1095
Drepanis coccinea,Vestiaria coccinea,,Vestiaria_coccinea,Passeriformes,,Vestiaria,18.3,8.8,NA
Dryocopus pileatus,Dryocopus pileatus,,Dryocopus_pileatus_NC008546,Piciformes,,Dryocopus,287,13,354
Egretta eulophotes,Egretta eulophotes,,Egretta_eulophotes_NC009736,Pelecaniformes,,Egretta,469.5,NA,NA
Egretta sacra,Egretta sacra,,Egretta_sacra_NC025920,Pelecaniformes,,Egretta,383,NA,NA
Emberiza aureola,Emberiza aureola,,Emberiza_aureola_NC022150,Passeriformes,,Emberiza,19.6,7,365
Emberiza chrysophrys,Emberiza chrysophrys,,Emberiza_chrysophrys_NC015233,Passeriformes,,Emberiza,18,NA,365
Emberiza pusilla,Emberiza pusilla,,Emberiza_pusilla_NC021408,Passeriformes,,Emberiza,13.8,NA,365
Emberiza rustica,Emberiza rustica,,Emberiza_rustica_KC831775,Passeriformes,,Emberiza,20.55,NA,365
Emberiza rutila,Emberiza rutila,,Emberiza_rutila_KC952874,Passeriformes,,Emberiza,17.5,NA,365
Emberiza tristrami,Emberiza tristrami,,Emberiza_tristrami_NC015234,Passeriformes,,Emberiza,18,NA,365
Emeus crassus,Emeus crassus,,Emeus_crassus_NC002673,Dinornithiformes,,Emeus,NA,NA,NA
Eopsaltria australis,Eopsaltria australis,,Eopsaltria_australis_NC019665,Passeriformes,,Eopsaltria,20.25,NA,NA
Epthianura albifrons,Epthianura albifrons,,Epthianura_albifrons_NC019664,Passeriformes,,Epthianura,13.3,NA,NA
Eudromia elegans,Eudromia elegans,,NA,NA,NA,NA,NA,NA,NA
Eudyptula minor,Eudyptula minor,,Eudyptula_minor_NC004538,Sphenisciformes,,Eudyptula,1110,16,NA
Eulabeornis castaneoventris,Eulabeornis castaneoventris,,Eulabeornis_castaneoventris_NC025501,Gruiformes,,Eulabeornis,687,NA,NA
Euphagus cyanocephalus,Euphagus cyanocephalus,,Euphagus_cyanocephalus_NC018827,Passeriformes,Icteridae,Euphagus,62.65,12.5,365
Falco cherrug,Falco cherrug,,Falco_cherrug_NC026715,Falconiformes,,Falco,966,15.9,NA
Falco peregrinus,Falco peregrinus,,Falco_peregrinus_NC008878,Falconiformes,,Falco,1047.5,25,365
Ficedula albicollis,Ficedula albicollis,,Ficedula_albicollis_NC021621,Passeriformes,,Ficedula,12.7,9.8,365
Ficedula zanthopygia,Ficedula zanthopygia,,Ficedula_zanthopygia_NC015802,Passeriformes,,Ficedula,11.2,NA,NA
Fratercula arctica,Fratercula arctica,,Fratercula_arctica,Charadriiformes,,Fratercula,381,40.8,1460
