species,matched_name,order,longevity_maxrecorded,clutchsize_min,clutchsize_max,clutchsize_mean.usual,X.maxsuccesful._clutches_per_year,firstbreeding_minmonths,firstbreeding_maxmonths,firstbreeding_meanmonths
Pinicola enucleator,Pinicola enucleator,Passeriformes,9,3,4,NA,1,NA,NA,12
Pitta nympha,Pitta nympha,Passeriformes,NA,4,6,NA,NA,NA,NA,NA
Platalea leucorodia,Platalea leucorodia,Pelecaniformes,28,3,7,NA,NA,36,48,NA
Platalea minor,Platalea minor,Pelecaniformes,9,4,6,NA,1,NA,NA,NA
Pluvianellus socialis,Pluvianellus socialis,Charadriiformes,NA,NA,NA,2,NA,NA,NA,NA
Podiceps cristatus,Podiceps cristatus,Podicipediformes,NA,1,7,NA,3,12,NA,24
Podoces hendersoni,Podoces hendersoni,Passeriformes,NA,3,4,NA,NA,NA,NA,NA
Poecile atricapillus,Poecile atricapillus,Passeriformes,12,6,8,NA,1,NA,NA,12
Poecile palustris,Poecile palustris,Passeriformes,11,5,10,NA,2,NA,NA,12
Polyplectron bicalcaratum,Polyplectron bicalcaratum,Galliformes,NA,2,5,NA,NA,NA,NA,NA
Polyplectron germaini,Polyplectron germaini,Galliformes,NA,1,2,NA,NA,NA,NA,NA
Porphyrio hochstetteri,Porphyrio hochstetteri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porphyrio porphyrio,Porphyrio porphyrio,Gruiformes,NA,2,7,NA,2,12,24,NA
Primolius couloni,Primolius couloni,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procellaria cinerea,Procellaria cinerea,Procellariiformes,NA,NA,NA,1,NA,NA,NA,NA
Pseudoleistes guirahuro,Pseudoleistes guirahuro,Passeriformes,NA,3,6,NA,NA,NA,NA,NA
Pseudoleistes virescens,Pseudoleistes virescens,Passeriformes,NA,3,6,NA,NA,NA,NA,NA
Pseudonestor xanthophrys,Pseudonestor xanthophrys,Passeriformes,NA,1,2,NA,NA,NA,NA,NA
Pseudopodoces humilis,Pseudopodoces humilis,Passeriformes,NA,4,9,NA,NA,NA,NA,NA
Aratinga brevipes,Psittacara brevipes,Psittaciformes,NA,NA,NA,NA,NA,NA,NA,NA
Pycnonotus sinensis,Pycnonotus sinensis,Passeriformes,NA,3,5,NA,3.5,NA,NA,NA
Pycnonotus taivanus,Pycnonotus taivanus,Passeriformes,NA,3,4,NA,2,NA,NA,NA
Pygoscelis adeliae,Pygoscelis adeliae,Sphenisciformes,NA,NA,NA,2,1,36,96,NA
Pygoscelis antarcticus,Pygoscelis antarcticus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrgilauda blanfordi,Pyrgilauda blanfordi,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Pyrgilauda davidiana,Pyrgilauda davidiana,Passeriformes,NA,5,6,NA,NA,NA,NA,NA
Pyrrhocorax graculus,Pyrrhocorax graculus,Passeriformes,NA,NA,6,4,1,24,36,NA
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Passeriformes,NA,NA,6,4,2,NA,NA,NA
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Passeriformes,NA,4,6,NA,3,NA,NA,12
