Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Crypturellus_tataupa_AY016012,Crypturellus tataupa,Crypturellus tataupa,218.5,NA,NA,4.5,2,9
Curaeus_curaeus_NC018808,Curaeus curaeus,Curaeus curaeus,83.55,NA,NA,4.5,NA,NA
Cursorius_temminckii,Cursorius temminckii,Cursorius temminckii,69.2,NA,NA,2,NA,NA
Cyanopica_cyanus_NC015824,Cyanopica cyanus,Cyanopica cyanus,92,NA,NA,6,NA,NA
Cyanoptila_cyanomela_NC015232,Cyanoptila cyanomelana,Cyanoptila cyanomelana,22.75,NA,NA,5,NA,NA
Cygnus_atratus_NC012843,Cygnus atratus,Cygnus atratus,5656,40,821,5.5,1,5.5
Cygnus_bewickii_NC017604,Cygnus bewickii,Cygnus columbianus,6350,24.1,1001.069,4,1,4
Cygnus_columbianus_NC007691,Cygnus columbianus,Cygnus columbianus,6350,24.1,1001.069,4,1,4
Cygnus_cygnus_NC027095,Cygnus cygnus,Cygnus cygnus,9413,26.5,1456.936,4.920659,1,4.920659
Cygnus_olor_mitochondrion_NC027096,Cygnus olor,Cygnus olor,10230,70,1183.569,5.95,1,5.95
Dendrocygna_javanica_NC012844,Dendrocygna javanica,Dendrocygna javanica,525,NA,365,10,1,10
Dinornis_giganteus_NC002672,Dinornis giganteus,NA,NA,NA,NA,NA,NA,NA
Diomedea_chrysostoma_AP009193,Diomedea chrysostoma,Thalassarche chrysostoma,3700,47.2,4383,1,0.5799257,0.5799257
Diomedea_melanohprys_NC007172,Diomedea melanohprys,Thalassarche melanophris,3440,43.7,3871.65,1,0.84,0.84
Dives_dives_NC018800,Dives dives,Dives dives,95.4,NA,NA,3,NA,NA
Dromaius_novaehollandiae_NC002784,Dromaius novaehollandiae,Dromaius novaehollandiae,36200,16.6,726.936,9.5,1.499938,14.249411
Dryocopus_pileatus_NC008546,Dryocopus pileatus,Dryocopus pileatus,303.875,13,354,3.815,1,3.815
Dupetor_flavicollis_NC024575,Dupetor flavicollis,Dupetor flavicollis,321,NA,NA,4,2,8
Ectopistes_migratorius_KC489473,Ectopistes migratorius,Ectopistes migratorius,298.5,15,NA,1,1,1
Egretta_eulophotes_NC009736,Egretta eulophotes,Egretta eulophotes,469.5,NA,NA,4,NA,NA
Egretta_garzetta_NC023981,Egretta garzetta,Egretta garzetta,495,22.34,364.234,4,1,4
Egretta_sacra_NC025920,Egretta sacra,Egretta sacra,510.25,8.583333,NA,3.75,NA,NA
Emberiza_aureola_NC022150,Emberiza aureola,Emberiza aureola,21.15,7,365,4,1,4
Emberiza_chrysophrys_NC015233,Emberiza chrysophrys,Emberiza chrysophrys,18,NA,365,3.9,NA,NA
Emberiza_cioides_NC_024524,Emberiza cioides,Emberiza cioides,22.1,NA,NA,4.6,2,9.2
Emberiza_pusilla_NC021408,Emberiza pusilla,Emberiza pusilla,14.95,NA,365,5,1,5
Emberiza_rustica_KC831775,Emberiza rustica,Emberiza rustica,20.1,NA,365,4.61,1,4.61
Emberiza_rutila_KC952874,Emberiza rutila,Emberiza rutila,17.375,NA,365,4,NA,NA
Emberiza_spodocephalus_NC021445,Emberiza spodocephalus,Emberiza spodocephala,17.725,NA,NA,4.5,2,9
Emberiza_tristrami_NC015234,Emberiza tristrami,Emberiza tristrami,17.75,NA,365,4.5,2,9
Emeus_crassus_NC002673,Emeus crassus,NA,NA,NA,NA,NA,NA,NA
Eopsaltria_australis_NC019665,Eopsaltria australis,Eopsaltria australis,20.25,12,NA,2.2,3,6.6
Epthianura_albifrons_NC019664,Epthianura albifrons,Epthianura albifrons,13.3,NA,NA,3,NA,NA
Eudromia_elegans_NC002772,Eudromia elegans,Eudromia elegans,678,NA,NA,7,2,14
Eudynamis_taitensis_NC011709,Eudynamys taitensis,Urodynamis taitensis,117,NA,NA,1,NA,NA
