species,Tips,matched_name
Colinus virginianus,Colinus_virginianus_NC024620,Colinus virginianus
Columba janthina,Columba_janthina_KM926619,Columba janthina
Columba livia,Columba_livia_NC013978,Columba livia
Corvus brachyrhynchos,Corvus_brachyrhynchos_NC026461,Corvus brachyrhynchos
Corvus cornix,Corvus_cornix_NC_024698,Corvus cornix
Corvus frugilegus,Corvus_frugilegus_NC002069,Corvus frugilegus
Corvus hawaiiensis,Corvus_hawaiiensis_NC_026783,Corvus hawaiiensis
Corvus macrorhynchos,Corvus_macrorhynchos_KR057957,Corvus macrorhynchos
Corvus splendens,Corvus_splendens_KJ766304,Corvus splendens
Coturnicops exquisitus,Coturnicops_exquisitus_NC012143,Coturnicops exquisitus
Coturnix chinensis,Coturnix_chinensis_NC004575,Excalfactoria chinensis
Coturnix japonica,Coturnix_japonica_NC003408,Coturnix japonica
Crax daubentoni,Crax_daubentoni_NC024617,Crax daubentoni
Crax rubra,Crax_rubra_NC024618,Crax rubra
Crossoptilon auritum,Crossopptilon_auritum_NC015897,Crossoptilon auritum
Crossoptilon crossoptilon,Crossoptilon_crossoptilon_NC016679,Crossoptilon crossoptilon
Crossoptilon harmani,Crossoptilon_harmani_NC026547,Crossoptilon harmani
Crossoptilon mantchuricum,Crossoptilon_mantchuricum_NC026548,Crossoptilon mantchuricum
Crotophaga ani,Crotophaga_ani_HM746794,Crotophaga ani
Curaeus curaeus,Curaeus_curaeus_NC018808,Curaeus curaeus
Cyanopica cyanus,Cyanopica_cyanus_NC015824,Cyanopica cyanus
Cygnus atratus,Cygnus_atratus_NC012843,Cygnus atratus
Cygnus bewickii,Cygnus_bewickii_NC017604,Cygnus columbianus
Cygnus columbianus,Cygnus_columbianus_NC007691,Cygnus columbianus
Cygnus cygnus,Cygnus_cygnus_NC027095,Cygnus cygnus
Cygnus olor,Cygnus_olor_mitochondrion_NC027096,Cygnus olor
Dinornis giganteus,Dinornis_giganteus_NC002672,NA
Diomedea chrysostoma,Diomedea_chrysostoma_AP009193,Thalassarche chrysostoma
Diomedea melanohprys,Diomedea_melanohprys_NC007172,Thalassarche melanophris
Dives dives,Dives_dives_NC018800,Dives dives
Dromaius novaehollandiae,Dromaius_novaehollandiae_NC002784,Dromaius novaehollandiae
Dryocopus pileatus,Dryocopus_pileatus_NC008546,Dryocopus pileatus
Dupetor flavicollis,Dupetor_flavicollis_NC024575,Dupetor flavicollis
Ectopistes migratorius,Ectopistes_migratorius_KC489473,Ectopistes migratorius
Egretta eulophotes,Egretta_eulophotes_NC009736,Egretta eulophotes
Egretta garzetta,Egretta_garzetta_NC023981,Egretta garzetta
Egretta sacra,Egretta_sacra_NC025920,Egretta sacra
Emberiza aureola,Emberiza_aureola_NC022150,Emberiza aureola
Emberiza chrysophrys,Emberiza_chrysophrys_NC015233,Emberiza chrysophrys
Emberiza cioides,Emberiza_cioides_NC_024524,Emberiza cioides
Emberiza pusilla,Emberiza_pusilla_NC021408,Emberiza pusilla
Emberiza rustica,Emberiza_rustica_KC831775,Emberiza rustica
Emberiza rutila,Emberiza_rutila_KC952874,Emberiza rutila
Emberiza spodocephalus,Emberiza_spodocephalus_NC021445,Emberiza spodocephala
Emberiza tristrami,Emberiza_tristrami_NC015234,Emberiza tristrami
Emeus crassus,Emeus_crassus_NC002673,NA
Eopsaltria australis,Eopsaltria_australis_NC019665,Eopsaltria australis
Epthianura albifrons,Epthianura_albifrons_NC019664,Epthianura albifrons
Eudynamys taitensis,Eudynamis_taitensis_NC011709,Urodynamis taitensis
